galaxy,n_pts,a0_simple,rms_simple,a0_mcgaugh,rms_mcgaugh,cpx5_a,cpx5_b,rms_cpx5,gas_frac,log_SB,V_max,D_mpc
UGC06786,45,1.2e-10,0.1353144750238353,1.2e-10,0.14209683816860094,-16.340912099964687,-67.0030491510754,0.062459922053737404,0.0008094634091262609,2.152502380461126,229.0,29.3
UGC06787,71,1.2e-10,0.11433284917490025,1.2e-10,0.11537662873815346,-15.851895615213989,-61.78690234398624,0.051853846348614334,0.0003942778906865325,1.9778607292646972,276.0,21.3
UGC06818,8,1.2e-10,0.28702398523637995,1.2e-10,0.2858872612821122,-5.112622102759172,61.30775004786841,0.06948902272755847,0.016598085345047683,0.9339931638312423,74.4,18.0
UGC06917,11,1.2e-10,0.046685188709563494,1.2e-10,0.047405700118829386,-16.071125082698455,-62.72734731756984,0.04099640573997531,0.009937491735538416,1.2132520521963968,111.0,18.0
UGC06923,6,1.2e-10,0.14055784602165372,1.2e-10,0.13769387841822656,-12.42679183251892,-22.66579658253803,0.044090435955105284,0.014876706472844487,1.338854746252323,81.1,18.0
UGC06930,10,1.2e-10,0.08785214438302077,1.2e-10,0.08714305275313071,-18.784431356535443,-91.56773093651547,0.06150689671874836,0.014851378561717246,0.9283958522567138,109.0,18.0
UGC06973,9,1.2e-10,0.19462782429512215,1.2e-10,0.18215082787300754,-14.301296913530782,-44.78434531676502,0.010960399588113299,0.0007767687033736507,1.387033701282363,180.0,18.0
UGC06983,17,1.2e-10,0.08913761456982529,1.2e-10,0.0899094474975873,-18.036852693245603,-84.47330064811638,0.07476912842384767,0.01796861999329725,0.5820633629117087,113.0,18.0
UGC07089,12,1.2e-10,0.21560302274830612,1.2e-10,0.21441646134581357,-13.334459542402893,-29.844744467094372,0.047369430083438344,0.017493664424132273,0.9809119377768436,79.1,18.0
UGC07125,13,1.2e-10,0.36061291901464765,1.2e-10,0.35990097362845264,-18.36646373837234,-84.12319080495769,0.06399197656645912,0.043466004530152196,0.22530928172586284,65.6,19.8
UGC07151,11,1.2e-10,0.08757288018879154,1.2e-10,0.08646740817050856,-19.180650647302,-95.49495283166085,0.06463094003969955,0.015649287486034228,1.2610248339923973,76.2,6.87
UGC07261,7,1.2e-10,0.08044799123842007,1.2e-10,0.08086807093269702,-18.97847042440999,-94.34577659576541,0.07169385767254872,0.014542955647604935,0.8744818176994664,76.1,13.1
UGC07323,10,1.2e-10,0.1459809963823175,1.2e-10,0.14410232180061572,-16.075057664070588,-61.086324626738424,0.04899611824563202,0.009862414160846832,1.589391023136933,85.6,8.0
UGC07399,10,1.2e-10,0.3112503157952574,1.2e-10,0.3127778262171822,-15.9910234012689,-64.9338706296056,0.03965073079755879,0.029462407630787987,0.8159096508867746,106.0,8.43
