galaxy,n_pts,V_flat,V_max,M_b,M_gas,M_star,f_gas,g_bar_last,g_obs_last,D
UGC04499,9,73.46666666666665,74.3,3022868163.552461,1978769572.037423,1044098591.5150381,0.6546000238766555,6.298624311071983e-12,2.1871099851487815e-11,12.5
UGC05005,11,99.5,100.0,12341979697.644255,10125245956.718233,2216733740.9260216,0.8203907480621496,2.1022396250138637e-12,1.1124378336450641e-11,53.7
UGC05253,73,214.33333333333334,248.0,131667088796.64554,28325530835.9287,103341557960.71684,0.21512992422636706,6.4642612296519495e-12,2.8901046348140495e-11,22.9
UGC05414,6,56.666666666666664,61.4,1083732158.7318947,521761993.0320283,561970165.6998664,0.4814492112539657,8.944816237715975e-12,2.972632487969187e-11,9.4
UGC05716,12,73.39999999999999,74.7,2533393333.3881803,2226944050.6058044,306449282.78237563,0.8790360427875098,2.3083216765244238e-12,1.4619004624796853e-11,21.3
UGC05721,23,79.0,82.6,1216850472.0095718,947305693.9989083,269544778.0106635,0.7784898110237629,3.734655334086817e-12,3.0389297466661806e-11,6.18
UGC05750,11,76.63333333333334,78.9,9128811339.297653,7255432786.849106,1873378552.4485478,0.7947839556740495,2.4376700909234086e-12,8.829052545556907e-12,58.7
UGC05764,10,51.48333333333333,55.8,376729447.67049426,324236843.97462946,52492603.695864774,0.8606623293707123,4.0081644663845e-12,2.229147572020425e-11,7.47
UGC05829,11,64.96666666666665,68.6,2250719648.8015423,1921729978.7320223,328989670.06952006,0.8538291207238096,6.5720129928510626e-12,2.207071910587783e-11,8.64
UGC05918,8,42.76666666666667,44.5,402978646.3174478,254232792.55532962,148745853.76211816,0.6308840304035784,2.824524993129743e-12,1.438902816710848e-11,7.66
UGC05986,15,109.33333333333333,116.0,4267007770.6461964,1689195480.2062123,2577812290.439984,0.3958735420700676,6.718576903908699e-12,3.9429768879701045e-11,8.63
UGC05999,5,96.3,100.0,10426206466.302345,8310654674.254314,2115551792.04803,0.7970928545405728,5.5253237089414535e-12,1.9979998423178526e-11,47.7
UGC06399,9,85.76666666666665,87.6,2725558307.3663464,1220224924.0759604,1505333383.290386,0.44769723721487353,6.166649568411838e-12,3.167997681517928e-11,18.0
UGC06446,17,82.53333333333333,84.9,3154726447.7048903,2599531541.2559714,555194906.4489186,0.8240117120605398,4.211075431792651e-12,2.034512843698477e-11,12.0
UGC06614,13,203.66666666666666,205.0,133107299517.5157,56397223146.839874,76710076370.67583,0.4236974482336224,4.44840591168638e-12,2.0880521915509117e-11,88.7
UGC06628,7,42.3,42.3,3713736318.1762257,1761254699.4821632,1952481618.6940622,0.47425410653470834,8.755712464136235e-12,7.540509552159162e-12,15.1
UGC06667,9,84.89999999999999,85.7,1617184177.9956822,1091681010.3443625,525503167.65131986,0.675050513848941,3.6589230493901494e-12,3.0320634593643294e-11,18.0
UGC06786,45,215.0,229.0,48775610324.257095,6674573718.005101,42101036606.25199,0.13684244386965058,5.865453358172466e-12,4.237347620830817e-11,29.3
UGC06787,71,252.0,276.0,70581459694.70192,9482438360.701069,61099021334.00085,0.13434743913935876,7.114942338729246e-12,5.666311972820037e-11,21.3
UGC06818,8,71.23333333333333,74.4,1688975098.477485,709376311.8022174,979598786.6752676,0.4200040086095288,4.833319528394824e-12,2.570021449345827e-11,18.0
UGC06917,11,108.66666666666667,111.0,7714890665.136711,3306515304.171928,4408375360.964784,0.4285887445059904,9.812270634119323e-12,3.81369164515526e-11,18.0
