galaxy,n_pts,V_flat,e_Vflat,V_max,M_b,M_gas,M_star,f_gas,SB,D
UGC08286,17,83.86666666666667,0.1905158688831355,84.3,1676992634.5923166,633416561.6446466,1043576072.94767,0.37770980538542,4.23,6.5
UGC08490,30,77.26666666666667,0.2721655269759087,80.1,2315193183.9453,1047913149.9274814,1267280034.017819,0.45262449682135897,0.145,4.65
UGC08550,11,57.53333333333333,0.11863420280034782,57.8,558055500.8442305,258749908.98505265,299305591.8591779,0.4636633965503679,0.36,6.7
UGC08699,41,182.0,0.47140452079103173,202.0,120057736536.2493,3257535865.2345586,116800200671.01474,0.02713307746103479,69.78,39.3
UGC08837,8,45.86666666666667,1.215943468471507,48.0,457083318.55232203,199378257.01782995,257705061.53449208,0.4361967477817882,10.219999999999999,7.21
UGC09037,22,147.66666666666666,2.7621784210346787,160.0,76369508593.76709,17150683481.554298,59218825112.21279,0.22457501426104573,12.81,83.6
UGC09133,68,226.66666666666666,1.186342028003479,289.0,1075998200125.8301,32879105346.831833,1043119094778.9983,0.030556840469609395,81.31,57.1
UGC09992,5,33.56666666666667,0.3138765975961223,34.3,400766257.7824915,176175371.34130448,224590886.44118702,0.43959631810350763,4.68,10.7
UGC10310,7,72.16666666666667,0.5504207145111477,73.2,1971733039.030882,813520051.4025084,1158212987.6283736,0.41259137788874206,7.39,15.2
UGC11455,36,270.6666666666667,1.9626135258506328,291.0,332473867329.767,8699585039.260445,323774282290.5066,0.026166222052669445,282.375,78.6
UGC11557,12,81.39999999999999,1.5107025591499559,85.0,8108394466.213502,740862984.676211,7367531481.537291,0.09136987448788772,63.0,24.2
UGC11820,10,80.88333333333333,1.7740934043638759,84.45,2551628546.7828593,1805108051.3707163,746520495.4121431,0.7074337107752734,18.45,18.1
UGC11914,65,296.6666666666667,4.009248567259715,305.0,120073038830.51251,353034723.13275903,119720004107.37976,0.002940166473433561,585.56,16.9
UGC12506,31,227.0,1.2472191289246473,255.0,154699880623.48032,34850533069.59527,119849347553.88504,0.22527834494208177,11.03,100.6
UGC12632,15,73.1,0.04714045207910384,73.2,1887643186.0718236,1002343026.716697,885300159.3551267,0.5310023812299866,4.19,9.77
UGC12732,16,94.76666666666667,1.7232613352679949,98.0,3885643061.3916388,2309603872.6446023,1576039188.7470365,0.5943942446986935,1.05,13.2
UGCA281,7,28.599999999999998,0.4784233364802442,29.5,43057876.07085815,14575597.809389958,28482278.26146819,0.33851176926153165,20.85,5.68
UGCA442,8,56.9,0.36817870057290814,57.8,593659592.5977483,495470812.5034704,98188780.09427792,0.8346042389972655,0.86,4.35
UGCA444,36,37.166666666666664,0.6605272865645259,38.3,109571491.91695538,103048129.08871096,6523362.828244416,0.9404647804450039,0.6699999999999999,0.98
