m_bar,vmax,r_vmax,g_bar,g_obs
28190434012.400352,222.435,2.019191024505462,9.640067032463334e-10,7.94099899165418e-10
19312444641.275467,138.098,11.562739887806318,2.0139507488019915e-11,5.345155220871447e-11
16815618541.482138,182.393,2.48774726896959,3.788204681045872e-10,4.333675359195735e-10
19743947446.117508,170.284,6.508266902863891,6.498848040562334e-11,1.4438717890969e-10
30724254502.509594,197.658,2.0978742249778564,9.733198160972747e-10,6.035255293643975e-10
18921095364.629463,138.022,6.723649247121346,5.83538186517555e-11,9.182012559196892e-11
27399763802.77532,180.795,4.149394744611751,2.2187604695651386e-10,2.5529033790667674e-10
11069146737.525833,153.955,4.089607322113966,9.227499514623646e-11,1.87824519246496e-10
11555373486.861528,147.594,3.6169176262178917,1.2315154278567283e-10,1.9518439248100384e-10
8458119279.598465,131.331,6.929288455860644,2.4560071665617743e-11,8.066630443088485e-11
11433156185.414822,137.579,14.175228816061411,7.933029807518176e-12,4.3273350102205207e-11
18524653085.32625,160.187,4.151018600531444,1.4989040411850674e-10,2.0033007607243472e-10
31404635370.534397,217.298,2.4633894301741956,7.21540501295668e-10,6.211903265480145e-10
31020667257.15973,199.081,2.823147328018896,5.426466866866401e-10,4.5495912912219164e-10
30718305284.912903,171.286,7.582226158842633,7.449667502998124e-11,1.2539877683302254e-10
15865662828.461765,144.555,6.941098317094775,4.5912922128980896e-11,9.75628188088294e-11
14465943312.666077,113.675,19.012400354295835,5.5796372230301985e-12,2.2026184582659772e-11
14864481842.338352,153.653,7.142161204605846,4.06278260071279e-11,1.0712694973376037e-10
11808695010.333628,135.439,6.727635075287865,3.637559948890258e-11,8.83631827730709e-11
31871567759.07883,210.057,1.7828461765574255,1.3980051931457026e-09,8.020597874507155e-10
16330602302.922941,116.062,15.67390020667257,9.2678960422171e-12,2.785154697105546e-11
32743430764.68851,393.749,0.6009743135518157,1.2639953237346464e-08,8.360443515747076e-09
19610569825.804546,168.216,3.995571302037201,1.7126378922671593e-10,2.2951021389170388e-10
16155152051.963388,186.094,2.459551225273103,3.72333756133342e-10,4.563049387086142e-10
30422054915.85474,231.366,1.6640094478889873,1.5318282556770548e-09,1.0425324656505306e-09
25716415707.11544,178.789,3.9878948922350164,2.2545306137255668e-10,2.5976712444745347e-10
7658695010.333629,119.333,13.532477118393858,5.830868914227363e-12,3.410280609406376e-11
15114230882.787127,136.436,11.323294951284323,1.6435144159984216e-11,5.327597864836798e-11
28991437850.605255,226.493,1.9317980513728963,1.0831270785538676e-09,8.6058573764528e-10
16809551225.273102,124.755,10.001180986123414,2.3430774892862586e-11,5.043255072651431e-11
15633820490.109241,138.69,3.3619722468260997,1.9284570852146307e-10,1.8541397805972217e-10
10874047829.937998,144.626,4.509300265721878,7.456002319825819e-11,1.5032454364117475e-10
12289917330.971361,135.946,3.847209920283437,1.1576847155127326e-10,1.5568016488872708e-10
