g_bar,g_obs,V_c,r_kpc
1.1222050183803278e-10,1.2453201367106838e-09,331.49882212405316,2.8597578978447005
2.316131405633088e-11,7.68046907455598e-11,91.61811515901579,3.5417773841157367
4.704513606125711e-11,2.1681340174567395e-10,142.91673406363992,3.0529967522881605
8.789605744231571e-13,3.02812710464036e-11,142.27266967895193,21.662828461765574
4.751585024018186e-10,7.471588021161016e-10,205.17668439051857,1.8259521700620018
1.5836250509163623e-10,2.925078864160768e-10,189.33524725114586,3.9716563330380867
3.462376554835892e-10,1.0169550344810365e-09,259.08324156242566,2.1390611160318866
6.984086832715236e-11,1.5606788901076932e-10,110.74027097173794,2.546501328609389
7.445898833419646e-11,2.41293600218546e-10,149.7488608595788,3.0118098612341306
1.6591647195197527e-11,1.4508864820519645e-10,193.3263786073078,8.348243283141423
2.6546291586155436e-11,1.1276528373851109e-10,128.00605015953977,4.70903454384411
6.307061566322909e-11,3.9005469950380993e-10,209.30862709999596,3.6399468556244465
1.3819492676441161e-11,2.751761360384085e-10,235.41260809231287,6.52671981104222
4.64104856449488e-09,4.64104856449488e-09,300.2064209555739,0.629317980513729
7.423395456802301e-10,7.425723255140598e-10,219.49486831984325,2.1025981694715083
2.6857771653213885e-09,2.6903332803234445e-09,262.063392869181,0.8272807794508414
1.2225199956856152e-10,2.5907303089213303e-10,158.1285684329776,3.1278417478594625
9.531379975205376e-11,2.5814441527656414e-10,185.83615049485138,4.335547682314733
8.544260405997255e-11,5.12868811846305e-10,243.3344211136813,3.7415116622379685
4.698957294871109e-11,1.2841507612694905e-10,127.2831123299685,4.088573959255979
5.165125474035087e-11,1.8984103191295554e-10,167.11040561396896,4.7671981104222025
2.0368018120914053e-11,2.610421440212144e-10,223.66120602703276,6.21036315323295
5.6270223138083085e-11,1.2601930805702897e-10,130.31925430415413,4.367434307646885
5.335861764715398e-11,1.3865075255093114e-10,161.95183665561322,6.130498966637142
2.226770753005203e-11,1.1041010838187207e-10,165.78521939832524,8.067316209034544
1.2595824991475817e-10,2.676774724840613e-10,162.92561913999714,3.213758488337762
8.137888710853749e-11,2.1613161380742974e-10,183.50666862146264,5.049306170652494
7.297324208999653e-11,3.3572122247771697e-10,209.94144145743257,4.254650132860939
1.4467189233536436e-11,6.981152574295957e-11,110.67072883287783,5.685710067906702
5.6831969127482386e-11,3.175510805212175e-10,200.19257531929395,4.090050191910245
4.360522559099947e-12,2.8606207745837296e-11,124.24776705680104,17.488928255093
6.136599826785082e-11,1.1916465853825107e-10,122.69708531989629,4.094183643342191
6.627780036099343e-11,1.8072012942968899e-10,164.58432328490952,4.857543548863301
6.942788476864278e-12,4.9410733388475995e-11,136.2310285700068,12.172423974018304
4.406638378287474e-11,1.080213651059194e-10,86.996417908239,2.270593445527015
9.398944966335876e-11,3.7064967535220963e-10,145.57692158753497,1.8529672276350755
2.0684615113517686e-12,2.7674709740911197e-11,130.62361923619005,19.980513728963686
8.903004797827516e-11,1.579325270215981e-10,88.80449423160289,1.6182462356067318
1.2571486714611962e-10,3.6524499199337067e-10,134.46251267438947,1.6042220253912016
1.6640905568881116e-12,6.294281641449213e-11,165.89682470548956,14.170209625036906
1.4169173388947594e-10,2.834158647669475e-10,147.34238044657155,2.482432831414231
8.017259871783183e-11,1.9956393450299965e-10,159.68411501650291,4.140832595217007
9.521168114354861e-11,8.846065382539906e-10,287.5110244863416,3.0283436669619133
